,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d
1165,Puerta_Hierro,Sincelejo,43,0.11,Puerta_Hierro - Sincelejo,9.428741,-75.230255,9.304577,-75.390557
1164,Puerta_Hierro,Sincelejo,43,0.11,Puerta_Hierro - Sincelejo,9.428741,-75.230255,9.304577,-75.390557
1163,Puerta_Hierro,Sincelejo,43,0.11,Puerta_Hierro - Sincelejo,9.428741,-75.230255,9.304577,-75.390557
1294,Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981
1208,Riohacha,Santa_Marta,160,0.11,Riohacha - Santa_Marta,11.538415,-72.916784,11.240355,-74.211023
1209,Riohacha,Santa_Marta,160,0.11,Riohacha - Santa_Marta,11.538415,-72.916784,11.240355,-74.211023
1210,Riohacha,Santa_Marta,160,0.11,Riohacha - Santa_Marta,11.538415,-72.916784,11.240355,-74.211023
1211,Riohacha,Santa_Marta,160,0.11,Riohacha - Santa_Marta,11.538415,-72.916784,11.240355,-74.211023
1212,Riohacha,Santa_Marta,160,0.11,Riohacha - Santa_Marta,11.538415,-72.916784,11.240355,-74.211023
1213,Riohacha,Santa_Marta,160,0.11,Riohacha - Santa_Marta,11.538415,-72.916784,11.240355,-74.211023
1144,Planeta_Rica,Caucasia,69,0.11,Planeta_Rica - Caucasia,8.412749,-75.584048,7.979698,-75.198563
1143,Planeta_Rica,Caucasia,69,0.11,Planeta_Rica - Caucasia,8.412749,-75.584048,7.979698,-75.198563
1142,Planeta_Rica,Caucasia,69,0.11,Planeta_Rica - Caucasia,8.412749,-75.584048,7.979698,-75.198563
1220,S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945
295,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
305,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
293,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
1292,Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981
1291,Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981
1290,Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981
1289,Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981
294,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
1287,San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139
1286,San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139
1285,San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139
